time,counts
20-Jan-2021 (22:34:23.316412),2147448102.817
20-Jan-2021 (22:34:25.119401),2147448117.38
20-Jan-2021 (22:34:25.129426),2147448088.5536
20-Jan-2021 (22:34:26.931905),2147448078.9128
20-Jan-2021 (22:34:28.668532),2147448053.3475
20-Jan-2021 (22:34:28.679522),2147448096.5486
20-Jan-2021 (22:34:30.482884),2147448100.0971
20-Jan-2021 (22:34:30.492859),2147448108.1403
20-Jan-2021 (22:34:32.295191),2147448102.0436
20-Jan-2021 (22:34:34.102102),2147448102.2628
20-Jan-2021 (22:34:34.112070),2147448107.7016
20-Jan-2021 (22:34:35.915579),2147448083.1256
20-Jan-2021 (22:34:35.926637),2147448083.4063
20-Jan-2021 (22:34:37.658614),2147448100.4
20-Jan-2021 (22:34:37.669589),2147448083.105
20-Jan-2021 (22:34:39.470636),2147448082.2466
20-Jan-2021 (22:34:41.278919),2147448103.9989
20-Jan-2021 (22:34:41.289885),2147448092.0713
20-Jan-2021 (22:34:43.091370),2147448055.7706
20-Jan-2021 (22:34:43.101345),2147448096.5102
20-Jan-2021 (22:34:44.904640),2147448117.9729
20-Jan-2021 (22:34:46.642542),2147448088.236
20-Jan-2021 (22:34:46.652557),2147448071.4172
20-Jan-2021 (22:34:48.454869),2147448073.5904
20-Jan-2021 (22:34:48.465819),2147448045.4215
20-Jan-2021 (22:34:50.267531),2147448065.3649
20-Jan-2021 (22:34:50.277506),2147448117.9293
20-Jan-2021 (22:34:52.080427),2147448069.3185
20-Jan-2021 (22:34:53.887619),2147448086.1262
20-Jan-2021 (22:34:53.897593),2147448077.1323
20-Jan-2021 (22:34:55.631843),2147448078.1842
20-Jan-2021 (22:34:55.641817),2147448089.5011
20-Jan-2021 (22:34:57.443681),2147448068.2983
20-Jan-2021 (22:34:59.249971),2147448099.238
20-Jan-2021 (22:34:59.260004),2147448102.6519
20-Jan-2021 (22:35:01.064166),2147448055.4857
20-Jan-2021 (22:35:01.075138),2147448093.3116
20-Jan-2021 (22:35:02.877394),2147448081.2949
20-Jan-2021 (22:35:02.887507),2147448091.0016
