time,volt
22-Jan-2021 (00:59:27.521631),10.000499777754946
22-Jan-2021 (00:59:28.571606),10.000499530454086
22-Jan-2021 (00:59:29.628808),10.000499687177246
22-Jan-2021 (00:59:30.682364),10.000499548565568
22-Jan-2021 (00:59:31.735913),10.000499857574644
22-Jan-2021 (00:59:32.789541),10.000499321570802
22-Jan-2021 (00:59:33.843041),10.000500070623298
22-Jan-2021 (00:59:34.901760),10.000499966823131
22-Jan-2021 (00:59:35.951732),10.00049917139023
22-Jan-2021 (00:59:37.017985),10.00049983716372
22-Jan-2021 (00:59:38.062469),10.00049968029245
22-Jan-2021 (00:59:39.128355),10.00049967404135
22-Jan-2021 (00:59:40.172610),10.000499764690064
22-Jan-2021 (00:59:41.218096),10.000499690734616
22-Jan-2021 (00:59:42.271684),10.000499677026566
22-Jan-2021 (00:59:43.325217),10.000499284747278
22-Jan-2021 (00:59:44.378960),10.000499655777698
22-Jan-2021 (00:59:45.432384),10.000499334487577
22-Jan-2021 (00:59:46.486001),10.000499974003477
22-Jan-2021 (00:59:47.530944),10.0004996977283
22-Jan-2021 (00:59:48.584453),10.000499822211264
22-Jan-2021 (00:59:49.638061),10.000499969701492
22-Jan-2021 (00:59:50.691569),10.00049914527872
22-Jan-2021 (00:59:51.745279),10.000499659952537
22-Jan-2021 (00:59:52.798768),10.000499811463404
22-Jan-2021 (00:59:53.852349),10.00049967318447
22-Jan-2021 (00:59:54.910979),10.000499534106138
22-Jan-2021 (00:59:55.959480),10.000499236115445
22-Jan-2021 (00:59:57.018091),10.000499611286891
22-Jan-2021 (00:59:58.069632),10.000499048512816
22-Jan-2021 (00:59:59.120306),10.000499275464975
22-Jan-2021 (01:00:00.173739),10.000499895008195
22-Jan-2021 (01:00:01.232442),10.000499829945504
22-Jan-2021 (01:00:02.282375),10.000499786999377
22-Jan-2021 (01:00:03.341198),10.000499546400713
22-Jan-2021 (01:00:04.391082),10.000499438167358
22-Jan-2021 (01:00:05.442580),10.00049947975005
22-Jan-2021 (01:00:06.491605),10.000499412212752
22-Jan-2021 (01:00:07.548766),10.000500006517578
22-Jan-2021 (01:00:08.607499),10.000499571786545
22-Jan-2021 (01:00:09.656823),10.000499265055943
22-Jan-2021 (01:00:10.716060),10.000499699963493
22-Jan-2021 (01:00:11.767656),10.000499737790655
22-Jan-2021 (01:00:12.821714),10.000499662231688
22-Jan-2021 (01:00:13.871698),10.000499628746411
22-Jan-2021 (01:00:14.924705),10.000499371498437
22-Jan-2021 (01:00:15.985433),10.000499641564444
22-Jan-2021 (01:00:17.030977),10.000499553908387
22-Jan-2021 (01:00:18.082440),10.000499724591863
22-Jan-2021 (01:00:19.138966),10.000499764443889
22-Jan-2021 (01:00:20.188030),10.00049937377962
22-Jan-2021 (01:00:21.243071),10.000499426822323
22-Jan-2021 (01:00:22.290976),10.000499333183658
22-Jan-2021 (01:00:23.350246),10.00049978864686
22-Jan-2021 (01:00:24.402360),10.000499719291652
22-Jan-2021 (01:00:25.458905),10.000500141961439
22-Jan-2021 (01:00:26.505316),10.000499645572912
22-Jan-2021 (01:00:27.559448),10.000499523567258
22-Jan-2021 (01:00:28.607330),10.00049966051049
22-Jan-2021 (01:00:29.668106),10.000499254299969
22-Jan-2021 (01:00:30.726749),10.000499245896862
22-Jan-2021 (01:00:31.781853),10.000499180329644
22-Jan-2021 (01:00:32.822263),10.000499345110995
22-Jan-2021 (01:00:33.879407),10.000499375637432
22-Jan-2021 (01:00:34.933031),10.000499484838578
22-Jan-2021 (01:00:35.991647),10.00049954782704
22-Jan-2021 (01:00:37.048314),10.000499555260324
22-Jan-2021 (01:00:38.100340),10.000499643269412
22-Jan-2021 (01:00:39.152391),10.000499173600398
22-Jan-2021 (01:00:40.207441),10.000499524012946
22-Jan-2021 (01:00:41.254434),10.000499997959599
22-Jan-2021 (01:00:42.310944),10.000499702921656
22-Jan-2021 (01:00:43.361566),10.000499598675805
22-Jan-2021 (01:00:44.420263),10.000499703225994
22-Jan-2021 (01:00:45.468701),10.000499742485573
22-Jan-2021 (01:00:46.527340),10.00049938247286
22-Jan-2021 (01:00:47.582464),10.000499306608202
22-Jan-2021 (01:00:48.636039),10.000499630241727
22-Jan-2021 (01:00:49.688067),10.000499680536596
22-Jan-2021 (01:00:50.738065),10.00049978120614
22-Jan-2021 (01:00:51.790145),10.000499852433363
22-Jan-2021 (01:00:52.831479),10.000499468691768
22-Jan-2021 (01:00:53.888605),10.000500038106491
22-Jan-2021 (01:00:54.942259),10.000499260037076
22-Jan-2021 (01:00:55.996600),10.000499849264868
22-Jan-2021 (01:00:57.049526),10.000499546375687
22-Jan-2021 (01:00:58.104462),10.000499784325262
22-Jan-2021 (01:00:59.163262),10.000499984058123
22-Jan-2021 (01:01:00.210075),10.000499673354222
22-Jan-2021 (01:01:01.273197),10.00049963930085
22-Jan-2021 (01:01:02.322304),10.000499560761398
22-Jan-2021 (01:01:03.375888),10.000499416340928
22-Jan-2021 (01:01:04.420783),10.00049985149668
22-Jan-2021 (01:01:05.483022),10.000499996984363
22-Jan-2021 (01:01:06.541127),10.0004997824546
22-Jan-2021 (01:01:07.581471),10.00050006527236
22-Jan-2021 (01:01:08.643800),10.00049995877509
22-Jan-2021 (01:01:09.697345),10.000500044975059
22-Jan-2021 (01:01:10.742242),10.00050043278058
22-Jan-2021 (01:01:11.799366),10.000499702277137
22-Jan-2021 (01:01:12.859558),10.000499864355291
22-Jan-2021 (01:01:13.913152),10.000499438051712
22-Jan-2021 (01:01:14.959513),10.000499398472915
22-Jan-2021 (01:01:16.021888),10.000499614619049
22-Jan-2021 (01:01:17.072516),10.000499292123074
22-Jan-2021 (01:01:18.127409),10.000499220107951
22-Jan-2021 (01:01:19.170821),10.000499543273472
22-Jan-2021 (01:01:20.229482),10.000499832859708
22-Jan-2021 (01:01:21.288154),10.000499305317135
22-Jan-2021 (01:01:22.331554),10.000499956928094
22-Jan-2021 (01:01:23.388689),10.000499896596166
22-Jan-2021 (01:01:24.442386),10.000499745389632
22-Jan-2021 (01:01:25.488647),10.000499994795838
22-Jan-2021 (01:01:26.548850),10.000499922692795
22-Jan-2021 (01:01:27.603860),10.000499632659519
22-Jan-2021 (01:01:28.649526),10.000499466317933
22-Jan-2021 (01:01:29.706562),10.000500249658478
22-Jan-2021 (01:01:30.755888),10.000500096302646
22-Jan-2021 (01:01:31.818092),10.000500336309546
22-Jan-2021 (01:01:32.862165),10.000499933539396
22-Jan-2021 (01:01:33.917189),10.000499720457604
22-Jan-2021 (01:01:34.970828),10.000499774813692
22-Jan-2021 (01:01:36.029422),10.000499446599544
22-Jan-2021 (01:01:37.076476),10.000499860465855
22-Jan-2021 (01:01:38.130897),10.000499579453152
22-Jan-2021 (01:01:39.188847),10.000499793652205
22-Jan-2021 (01:01:40.242275),10.000499595162395
22-Jan-2021 (01:01:41.300312),10.00049984881986
22-Jan-2021 (01:01:42.353872),10.000500376958936
22-Jan-2021 (01:01:43.401007),10.000499891513723
22-Jan-2021 (01:01:44.456539),10.000500346134245
22-Jan-2021 (01:01:45.510135),10.000499742245488
22-Jan-2021 (01:01:46.560124),10.000499430344522
22-Jan-2021 (01:01:47.617403),10.000499656258553
22-Jan-2021 (01:01:48.670849),10.00049993781771
22-Jan-2021 (01:01:49.720236),10.000500113509231
22-Jan-2021 (01:01:50.778122),10.00049968655031
22-Jan-2021 (01:01:51.836092),10.000500164546686
22-Jan-2021 (01:01:52.880058),10.000500175530574
22-Jan-2021 (01:01:53.929413),10.000499859109183
22-Jan-2021 (01:01:54.993777),10.00050016341793
22-Jan-2021 (01:01:56.042246),10.000500210943327
22-Jan-2021 (01:01:57.094317),10.000500049683502
22-Jan-2021 (01:01:58.140686),10.000499875788249
22-Jan-2021 (01:01:59.192377),10.00049962761157
22-Jan-2021 (01:02:00.247850),10.00050008986421
22-Jan-2021 (01:02:01.299921),10.000500270325722
22-Jan-2021 (01:02:02.358564),10.000500322653568
22-Jan-2021 (01:02:03.412179),10.000499938102433
22-Jan-2021 (01:02:04.465699),10.000499971009466
22-Jan-2021 (01:02:05.519268),10.00049948445579
22-Jan-2021 (01:02:06.572896),10.000499853320003
22-Jan-2021 (01:02:07.621401),10.000499920955365
22-Jan-2021 (01:02:08.681509),10.00050017177302
22-Jan-2021 (01:02:09.730030),10.000500367827447
22-Jan-2021 (01:02:10.788705),10.000499628555696
22-Jan-2021 (01:02:11.842291),10.000500160966322
22-Jan-2021 (01:02:12.894338),10.000499840736648
22-Jan-2021 (01:02:13.947866),10.00049961385753
22-Jan-2021 (01:02:14.996494),10.000500032733239
22-Jan-2021 (01:02:16.056523),10.000499782691984
22-Jan-2021 (01:02:17.111662),10.000499914063804
22-Jan-2021 (01:02:18.162210),10.000500032748791
22-Jan-2021 (01:02:19.215784),10.000499921882579
22-Jan-2021 (01:02:20.264219),10.000499424225982
22-Jan-2021 (01:02:21.324369),10.00049979522732
